Model,MSE (mean),MSE (std),RMSE (mean),RMSE (std),MAE (mean),MAE (std),R² (mean),R² (std),NRMSE% (mean),NRMSE% (std)
GRU-KAN,0.624464774143951,0.28497689904522533,0.7690530177759289,0.18172019698890768,0.6090032238016526,0.17556415873858727,0.32223281203634063,0.2973379766488412,20.579366740505584,4.260694681317012
Baseline GRU,0.710220977811711,0.3638928939320106,0.8126065808299018,0.22336410321188058,0.6759297050784031,0.21310838253876938,0.2442173804027518,0.3370955191073062,21.731954380983744,5.5006469605934525
ConvLSTM,0.8806997984167083,0.11480734755188031,0.9363452061727588,0.062908292728398,0.7910844098147257,0.06704273426934002,0.0143282610029126,0.04164704924102488,26.086381940285758,1.3262399579010213
SARIMAX,2.296585225217544,8.80004945849502,0.9216418573752149,1.2029802624945718,0.8054590154648851,1.0822005734632116,-1.81524370408174,9.647154576146177,42.884303114730855,52.531759858823044
STARMA,2.044152945353704,1.454897355965733,1.3408107747205498,0.49636620729757935,1.1065430437570487,0.429104803614912,-2.200677363281125,4.681307555420582,62.91777378659904,31.025389248072614
